Discipline	Season	Year	Event	Gender	Results	Prompt
Water Polo	Summer	2004	Water Polo	Women	Gold: ITA, Silver: GRE, Bronze: USA	Who won the medals in the Women's Water Polo event at the 2004 olympic games?
Fencing	Summer	2004	Épée, Team	Men	Gold: FRA, Silver: HUN, Bronze: GER	Who won the medals in the Men's Fencing Épée, Team event at the 2004 olympic games?
Fencing	Summer	2004	Épée, Team	Women	Gold: RUS, Silver: GER, Bronze: FRA	Who won the medals in the Women's Fencing Épée, Team event at the 2004 olympic games?
Curling	Winter	2006	Curling	Men	Gold: CAN, Silver: FIN, Bronze: USA	Who won the medals in the Men's Curling event at the 2006 olympic games?
Curling	Winter	2006	Curling	Women	Gold: SWE, Silver: SUI, Bronze: CAN	Who won the medals in the Women's Curling event at the 2006 olympic games?
Ice Hockey	Winter	2006	Ice Hockey	Men	Gold: SWE, Silver: FIN, Bronze: CZE	Who won the medals in the Men's Ice Hockey event at the 2006 olympic games?
Ice Hockey	Winter	2006	Ice Hockey	Women	Gold: CAN, Silver: SWE, Bronze: USA	Who won the medals in the Women's Ice Hockey event at the 2006 olympic games?
Swimming	Summer	2008	4 x 100 metres Freestyle Relay	Men	Gold: USA, Silver: FRA, Bronze: AUS	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 100 metres Freestyle Relay	Women	Gold: NED, Silver: USA, Bronze: AUS	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 100 metres Medley Relay	Men	Gold: USA, Silver: AUS, Bronze: JPN	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 100 metres Medley Relay	Women	Gold: AUS, Silver: USA, Bronze: CHN	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 2008 olympic games?
Athletics	Summer	2008	4 x 100 metres Relay	Men	Gold: TTO, Silver: JPN, Bronze: BRA	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 2008 olympic games?
Athletics	Summer	2008	4 x 100 metres Relay	Women	Gold: BEL, Silver: NGR, Bronze: BRA	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 200 metres Freestyle Relay	Men	Gold: USA, Silver: RUS, Bronze: AUS	Who won the medals in the Men's Swimming 4 x 200 metres Freestyle Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 200 metres Freestyle Relay	Women	Gold: AUS, Silver: CHN, Bronze: USA	Who won the medals in the Women's Swimming 4 x 200 metres Freestyle Relay event at the 2008 olympic games?
Athletics	Summer	2008	4 x 400 metres Relay	Men	Gold: USA, Silver: BAH, Bronze: GBR	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 2008 olympic games?
Athletics	Summer	2008	4 x 400 metres Relay	Women	Gold: USA, Silver: JAM, Bronze: GBR	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 2008 olympic games?
Basketball	Summer	2008	Basketball	Men	Gold: USA, Silver: ESP, Bronze: ARG	Who won the medals in the Men's Basketball event at the 2008 olympic games?
Basketball	Summer	2008	Basketball	Women	Gold: USA, Silver: AUS, Bronze: RUS	Who won the medals in the Women's Basketball event at the 2008 olympic games?
Rowing	Summer	2008	Coxed Eights	Men	Gold: CAN, Silver: GBR, Bronze: USA	Who won the medals in the Men's Rowing Coxed Eights event at the 2008 olympic games?
Rowing	Summer	2008	Coxed Eights	Women	Gold: USA, Silver: NED, Bronze: ROU	Who won the medals in the Women's Rowing Coxed Eights event at the 2008 olympic games?
Field Hockey	Summer	2008	Field Hockey	Men	Gold: GER, Silver: ESP, Bronze: AUS	Who won the medals in the Men's Field Hockey event at the 2008 olympic games?
Field Hockey	Summer	2008	Field Hockey	Women	Gold: NED, Silver: CHN, Bronze: ARG	Who won the medals in the Women's Field Hockey event at the 2008 olympic games?
Football	Summer	2008	Football	Men	Gold: ARG, Silver: NGR, Bronze: BRA	Who won the medals in the Men's Football event at the 2008 olympic games?
Football	Summer	2008	Football	Women	Gold: USA, Silver: BRA, Bronze: GER	Who won the medals in the Women's Football event at the 2008 olympic games?
Handball	Summer	2008	Handball	Men	Gold: FRA, Silver: ISL, Bronze: ESP	Who won the medals in the Men's Handball event at the 2008 olympic games?
Handball	Summer	2008	Handball	Women	Gold: NOR, Silver: RUS, Bronze: KOR	Who won the medals in the Women's Handball event at the 2008 olympic games?
Indoor Volleyball	Summer	2008	Indoor Volleyball	Men	Gold: USA, Silver: BRA, Bronze: RUS	Who won the medals in the Men's Indoor Volleyball event at the 2008 olympic games?
Indoor Volleyball	Summer	2008	Indoor Volleyball	Women	Gold: BRA, Silver: USA, Bronze: CHN	Who won the medals in the Women's Indoor Volleyball event at the 2008 olympic games?
Rowing	Summer	2008	Quadruple Sculls	Men	Gold: POL, Silver: ITA, Bronze: FRA	Who won the medals in the Men's Rowing Quadruple Sculls event at the 2008 olympic games?
Rowing	Summer	2008	Quadruple Sculls	Women	Gold: CHN, Silver: GBR, Bronze: GER	Who won the medals in the Women's Rowing Quadruple Sculls event at the 2008 olympic games?
Fencing	Summer	2008	Sabre, Team	Men	Gold: FRA, Silver: USA, Bronze: ITA	Who won the medals in the Men's Fencing Sabre, Team event at the 2008 olympic games?
Fencing	Summer	2008	Sabre, Team	Women	Gold: UKR, Silver: CHN, Bronze: USA	Who won the medals in the Women's Fencing Sabre, Team event at the 2008 olympic games?
Archery	Summer	2008	Team	Men	Gold: KOR, Silver: ITA, Bronze: CHN	Who won the medals in the Men's Archery Team event at the 2008 olympic games?
Archery	Summer	2008	Team	Women	Gold: KOR, Silver: CHN, Bronze: FRA	Who won the medals in the Women's Archery Team event at the 2008 olympic games?
Table Tennis	Summer	2008	Team	Men	Gold: CHN, Silver: GER, Bronze: KOR	Who won the medals in the Men's Table Tennis Team event at the 2008 olympic games?
Table Tennis	Summer	2008	Team	Women	Gold: CHN, Silver: SGP, Bronze: KOR	Who won the medals in the Women's Table Tennis Team event at the 2008 olympic games?
Artistic Gymnastics	Summer	2008	Team All-Around	Men	Gold: CHN, Silver: JPN, Bronze: USA	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 2008 olympic games?
Artistic Gymnastics	Summer	2008	Team All-Around	Women	Gold: CHN, Silver: USA, Bronze: ROU	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 2008 olympic games?
Water Polo	Summer	2008	Water Polo	Men	Gold: HUN, Silver: USA, Bronze: SRB	Who won the medals in the Men's Water Polo event at the 2008 olympic games?
Water Polo	Summer	2008	Water Polo	Women	Gold: NED, Silver: USA, Bronze: AUS	Who won the medals in the Women's Water Polo event at the 2008 olympic games?
Curling	Winter	2010	Curling	Men	Gold: CAN, Silver: NOR, Bronze: SUI	Who won the medals in the Men's Curling event at the 2010 olympic games?
Curling	Winter	2010	Curling	Women	Gold: SWE, Silver: CAN, Bronze: CHN	Who won the medals in the Women's Curling event at the 2010 olympic games?
Ice Hockey	Winter	2010	Ice Hockey	Men	Gold: CAN, Silver: USA, Bronze: FIN	Who won the medals in the Men's Ice Hockey event at the 2010 olympic games?
Ice Hockey	Winter	2010	Ice Hockey	Women	Gold: CAN, Silver: USA, Bronze: FIN	Who won the medals in the Women's Ice Hockey event at the 2010 olympic games?
Swimming	Summer	2012	4 x 100 metres Freestyle Relay	Men	Gold: FRA, Silver: USA, Bronze: RUS	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 100 metres Freestyle Relay	Women	Gold: AUS, Silver: NED, Bronze: USA	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 100 metres Medley Relay	Men	Gold: USA, Silver: JPN, Bronze: AUS	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 100 metres Medley Relay	Women	Gold: USA, Silver: AUS, Bronze: JPN	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 2012 olympic games?
Athletics	Summer	2012	4 x 100 metres Relay	Men	Gold: JAM, Silver: TTO, Bronze: FRA	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 2012 olympic games?
Athletics	Summer	2012	4 x 100 metres Relay	Women	Gold: USA, Silver: JAM, Bronze: UKR	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 200 metres Freestyle Relay	Men	Gold: USA, Silver: FRA, Bronze: CHN	Who won the medals in the Men's Swimming 4 x 200 metres Freestyle Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 200 metres Freestyle Relay	Women	Gold: USA, Silver: AUS, Bronze: FRA	Who won the medals in the Women's Swimming 4 x 200 metres Freestyle Relay event at the 2012 olympic games?
Athletics	Summer	2012	4 x 400 metres Relay	Men	Gold: BAH, Silver: USA, Bronze: TTO	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 2012 olympic games?
Athletics	Summer	2012	4 x 400 metres Relay	Women	Gold: USA, Silver: JAM, Bronze: UKR	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 2012 olympic games?
Basketball	Summer	2012	Basketball	Men	Gold: USA, Silver: ESP, Bronze: RUS	Who won the medals in the Men's Basketball event at the 2012 olympic games?
Basketball	Summer	2012	Basketball	Women	Gold: USA, Silver: FRA, Bronze: AUS	Who won the medals in the Women's Basketball event at the 2012 olympic games?
Rowing	Summer	2012	Coxed Eights	Men	Gold: GER, Silver: CAN, Bronze: GBR	Who won the medals in the Men's Rowing Coxed Eights event at the 2012 olympic games?
Rowing	Summer	2012	Coxed Eights	Women	Gold: USA, Silver: CAN, Bronze: NED	Who won the medals in the Women's Rowing Coxed Eights event at the 2012 olympic games?
Field Hockey	Summer	2012	Field Hockey	Men	Gold: GER, Silver: NED, Bronze: AUS	Who won the medals in the Men's Field Hockey event at the 2012 olympic games?
Field Hockey	Summer	2012	Field Hockey	Women	Gold: NED, Silver: ARG, Bronze: GBR	Who won the medals in the Women's Field Hockey event at the 2012 olympic games?
Fencing	Summer	2012	Foil, Team	Men	Gold: ITA, Silver: JPN, Bronze: GER	Who won the medals in the Men's Fencing Foil, Team event at the 2012 olympic games?
Fencing	Summer	2012	Foil, Team	Women	Gold: ITA, Silver: RUS, Bronze: KOR	Who won the medals in the Women's Fencing Foil, Team event at the 2012 olympic games?
Football	Summer	2012	Football	Men	Gold: MEX, Silver: BRA, Bronze: KOR	Who won the medals in the Men's Football event at the 2012 olympic games?
Football	Summer	2012	Football	Women	Gold: USA, Silver: JPN, Bronze: CAN	Who won the medals in the Women's Football event at the 2012 olympic games?
Handball	Summer	2012	Handball	Men	Gold: FRA, Silver: SWE, Bronze: CRO	Who won the medals in the Men's Handball event at the 2012 olympic games?
Handball	Summer	2012	Handball	Women	Gold: NOR, Silver: MNE, Bronze: ESP	Who won the medals in the Women's Handball event at the 2012 olympic games?
Indoor Volleyball	Summer	2012	Indoor Volleyball	Men	Gold: RUS, Silver: BRA, Bronze: ITA	Who won the medals in the Men's Indoor Volleyball event at the 2012 olympic games?
Indoor Volleyball	Summer	2012	Indoor Volleyball	Women	Gold: BRA, Silver: USA, Bronze: JPN	Who won the medals in the Women's Indoor Volleyball event at the 2012 olympic games?
Rowing	Summer	2012	Quadruple Sculls	Men	Gold: GER, Silver: CRO, Bronze: AUS	Who won the medals in the Men's Rowing Quadruple Sculls event at the 2012 olympic games?
Rowing	Summer	2012	Quadruple Sculls	Women	Gold: UKR, Silver: GER, Bronze: USA	Who won the medals in the Women's Rowing Quadruple Sculls event at the 2012 olympic games?
Archery	Summer	2012	Team	Men	Gold: ITA, Silver: USA, Bronze: KOR	Who won the medals in the Men's Archery Team event at the 2012 olympic games?
Archery	Summer	2012	Team	Women	Gold: KOR, Silver: CHN, Bronze: JPN	Who won the medals in the Women's Archery Team event at the 2012 olympic games?
Table Tennis	Summer	2012	Team	Men	Gold: CHN, Silver: KOR, Bronze: GER	Who won the medals in the Men's Table Tennis Team event at the 2012 olympic games?
Table Tennis	Summer	2012	Team	Women	Gold: CHN, Silver: JPN, Bronze: SGP	Who won the medals in the Women's Table Tennis Team event at the 2012 olympic games?
Artistic Gymnastics	Summer	2012	Team All-Around	Men	Gold: CHN, Silver: JPN, Bronze: GBR	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 2012 olympic games?
Artistic Gymnastics	Summer	2012	Team All-Around	Women	Gold: USA, Silver: RUS, Bronze: ROU	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 2012 olympic games?
Water Polo	Summer	2012	Water Polo	Men	Gold: CRO, Silver: ITA, Bronze: SRB	Who won the medals in the Men's Water Polo event at the 2012 olympic games?
Water Polo	Summer	2012	Water Polo	Women	Gold: USA, Silver: ESP, Bronze: AUS	Who won the medals in the Women's Water Polo event at the 2012 olympic games?
Curling	Winter	2014	Curling	Men	Gold: CAN, Silver: GBR, Bronze: SWE	Who won the medals in the Men's Curling event at the 2014 olympic games?
Curling	Winter	2014	Curling	Women	Gold: CAN, Silver: SWE, Bronze: GBR	Who won the medals in the Women's Curling event at the 2014 olympic games?
Ice Hockey	Winter	2014	Ice Hockey	Men	Gold: CAN, Silver: SWE, Bronze: FIN	Who won the medals in the Men's Ice Hockey event at the 2014 olympic games?
Ice Hockey	Winter	2014	Ice Hockey	Women	Gold: CAN, Silver: USA, Bronze: SUI	Who won the medals in the Women's Ice Hockey event at the 2014 olympic games?
Swimming	Summer	2016	4 x 100 metres Freestyle Relay	Men	Gold: USA, Silver: FRA, Bronze: AUS	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 100 metres Freestyle Relay	Women	Gold: AUS, Silver: USA, Bronze: CAN	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 100 metres Medley Relay	Men	Gold: USA, Silver: GBR, Bronze: AUS	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 100 metres Medley Relay	Women	Gold: USA, Silver: AUS, Bronze: DEN	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 2016 olympic games?
Athletics	Summer	2016	4 x 100 metres Relay	Men	Gold: JAM, Silver: JPN, Bronze: CAN	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 2016 olympic games?
Athletics	Summer	2016	4 x 100 metres Relay	Women	Gold: USA, Silver: JAM, Bronze: GBR	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 200 metres Freestyle Relay	Men	Gold: USA, Silver: GBR, Bronze: JPN	Who won the medals in the Men's Swimming 4 x 200 metres Freestyle Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 200 metres Freestyle Relay	Women	Gold: USA, Silver: AUS, Bronze: CAN	Who won the medals in the Women's Swimming 4 x 200 metres Freestyle Relay event at the 2016 olympic games?
Athletics	Summer	2016	4 x 400 metres Relay	Men	Gold: USA, Silver: JAM, Bronze: BAH	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 2016 olympic games?
Athletics	Summer	2016	4 x 400 metres Relay	Women	Gold: USA, Silver: JAM, Bronze: GBR	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 2016 olympic games?
Basketball	Summer	2016	Basketball	Men	Gold: USA, Silver: SRB, Bronze: ESP	Who won the medals in the Men's Basketball event at the 2016 olympic games?
Basketball	Summer	2016	Basketball	Women	Gold: USA, Silver: ESP, Bronze: SRB	Who won the medals in the Women's Basketball event at the 2016 olympic games?
Rowing	Summer	2016	Coxed Eights	Men	Gold: GBR, Silver: GER, Bronze: NED	Who won the medals in the Men's Rowing Coxed Eights event at the 2016 olympic games?
Rowing	Summer	2016	Coxed Eights	Women	Gold: USA, Silver: GBR, Bronze: ROU	Who won the medals in the Women's Rowing Coxed Eights event at the 2016 olympic games?
Field Hockey	Summer	2016	Field Hockey	Men	Gold: ARG, Silver: BEL, Bronze: GER	Who won the medals in the Men's Field Hockey event at the 2016 olympic games?
Field Hockey	Summer	2016	Field Hockey	Women	Gold: GBR, Silver: NED, Bronze: GER	Who won the medals in the Women's Field Hockey event at the 2016 olympic games?
Football	Summer	2016	Football	Men	Gold: BRA, Silver: GER, Bronze: NGR	Who won the medals in the Men's Football event at the 2016 olympic games?
Football	Summer	2016	Football	Women	Gold: GER, Silver: SWE, Bronze: CAN	Who won the medals in the Women's Football event at the 2016 olympic games?
Handball	Summer	2016	Handball	Men	Gold: DEN, Silver: FRA, Bronze: GER	Who won the medals in the Men's Handball event at the 2016 olympic games?
Handball	Summer	2016	Handball	Women	Gold: RUS, Silver: FRA, Bronze: NOR	Who won the medals in the Women's Handball event at the 2016 olympic games?
Indoor Volleyball	Summer	2016	Indoor Volleyball	Men	Gold: BRA, Silver: ITA, Bronze: USA	Who won the medals in the Men's Indoor Volleyball event at the 2016 olympic games?
Indoor Volleyball	Summer	2016	Indoor Volleyball	Women	Gold: CHN, Silver: SRB, Bronze: USA	Who won the medals in the Women's Indoor Volleyball event at the 2016 olympic games?
Rowing	Summer	2016	Quadruple Sculls	Men	Gold: GER, Silver: AUS, Bronze: EST	Who won the medals in the Men's Rowing Quadruple Sculls event at the 2016 olympic games?
Rowing	Summer	2016	Quadruple Sculls	Women	Gold: GER, Silver: NED, Bronze: POL	Who won the medals in the Women's Rowing Quadruple Sculls event at the 2016 olympic games?
Rugby	Summer	2016	Rugby Sevens	Men	Gold: FIJ, Silver: GBR, Bronze: RSA	Who won the medals in the Men's Rugby Rugby Sevens event at the 2016 olympic games?
Rugby	Summer	2016	Rugby Sevens	Women	Gold: AUS, Silver: NZL, Bronze: CAN	Who won the medals in the Women's Rugby Rugby Sevens event at the 2016 olympic games?
Archery	Summer	2016	Team	Men	Gold: KOR, Silver: USA, Bronze: AUS	Who won the medals in the Men's Archery Team event at the 2016 olympic games?
Archery	Summer	2016	Team	Women	Gold: KOR, Silver: RUS, Bronze: TPE	Who won the medals in the Women's Archery Team event at the 2016 olympic games?
Table Tennis	Summer	2016	Team	Men	Gold: CHN, Silver: JPN, Bronze: GER	Who won the medals in the Men's Table Tennis Team event at the 2016 olympic games?
Table Tennis	Summer	2016	Team	Women	Gold: CHN, Silver: GER, Bronze: JPN	Who won the medals in the Women's Table Tennis Team event at the 2016 olympic games?
Artistic Gymnastics	Summer	2016	Team All-Around	Men	Gold: JPN, Silver: RUS, Bronze: CHN	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 2016 olympic games?
Artistic Gymnastics	Summer	2016	Team All-Around	Women	Gold: USA, Silver: RUS, Bronze: CHN	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 2016 olympic games?
Cycling Track	Summer	2016	Team Pursuit, 4,000 metres	Men	Gold: GBR, Silver: AUS, Bronze: DEN	Who won the medals in the Men's Cycling Track Team Pursuit, 4,000 metres event at the 2016 olympic games?
Cycling Track	Summer	2016	Team Pursuit, 4,000 metres	Women	Gold: GBR, Silver: USA, Bronze: CAN	Who won the medals in the Women's Cycling Track Team Pursuit, 4,000 metres event at the 2016 olympic games?
Water Polo	Summer	2016	Water Polo	Men	Gold: SRB, Silver: CRO, Bronze: ITA	Who won the medals in the Men's Water Polo event at the 2016 olympic games?
Water Polo	Summer	2016	Water Polo	Women	Gold: USA, Silver: ITA, Bronze: RUS	Who won the medals in the Women's Water Polo event at the 2016 olympic games?
Fencing	Summer	2016	Épée, Team	Men	Gold: FRA, Silver: ITA, Bronze: HUN	Who won the medals in the Men's Fencing Épée, Team event at the 2016 olympic games?
Fencing	Summer	2016	Épée, Team	Women	Gold: ROU, Silver: CHN, Bronze: RUS	Who won the medals in the Women's Fencing Épée, Team event at the 2016 olympic games?
Curling	Winter	2018	Curling	Men	Gold: USA, Silver: SWE, Bronze: SUI	Who won the medals in the Men's Curling event at the 2018 olympic games?
Curling	Winter	2018	Curling	Women	Gold: SWE, Silver: KOR, Bronze: JPN	Who won the medals in the Women's Curling event at the 2018 olympic games?
Ice Hockey	Winter	2018	Ice Hockey	Men	Gold: OAR, Silver: GER, Bronze: CAN	Who won the medals in the Men's Ice Hockey event at the 2018 olympic games?
Ice Hockey	Winter	2018	Ice Hockey	Women	Gold: USA, Silver: CAN, Bronze: FIN	Who won the medals in the Women's Ice Hockey event at the 2018 olympic games?
3x3 Basketball	Summer	2020		Men	Gold: LAT, Silver: ROC, Bronze: SRB	Who won the medals in the Men's 3x3 Basketball event at the 2020 olympic games?
3x3 Basketball	Summer	2020		Women	Gold: USA, Silver: ROC, Bronze: CHN	Who won the medals in the Women's 3x3 Basketball event at the 2020 olympic games?
Basketball	Summer	2020		Men	Gold: USA, Silver: FRA, Bronze: AUS	Who won the medals in the Men's Basketball event at the 2020 olympic games?
Basketball	Summer	2020		Women	Gold: USA, Silver: JPN, Bronze: FRA	Who won the medals in the Women's Basketball event at the 2020 olympic games?
Field Hockey	Summer	2020		Men	Gold: BEL, Silver: AUS, Bronze: IND	Who won the medals in the Men's Field Hockey event at the 2020 olympic games?
Field Hockey	Summer	2020		Women	Gold: NED, Silver: ARG, Bronze: GBR	Who won the medals in the Women's Field Hockey event at the 2020 olympic games?
Football	Summer	2020		Men	Gold: BRA, Silver: ESP, Bronze: MEX	Who won the medals in the Men's Football event at the 2020 olympic games?
Football	Summer	2020		Women	Gold: CAN, Silver: SWE, Bronze: USA	Who won the medals in the Women's Football event at the 2020 olympic games?
Handball	Summer	2020		Men	Gold: FRA, Silver: DEN, Bronze: ESP	Who won the medals in the Men's Handball event at the 2020 olympic games?
Handball	Summer	2020		Women	Gold: FRA, Silver: ROC, Bronze: NOR	Who won the medals in the Women's Handball event at the 2020 olympic games?
Indoor Volleyball	Summer	2020		Men	Gold: FRA, Silver: ROC, Bronze: ARG	Who won the medals in the Men's Indoor Volleyball event at the 2020 olympic games?
Indoor Volleyball	Summer	2020		Women	Gold: USA, Silver: BRA, Bronze: SRB	Who won the medals in the Women's Indoor Volleyball event at the 2020 olympic games?
Rugby Sevens	Summer	2020		Men	Gold: FIJ, Silver: NZL, Bronze: ARG	Who won the medals in the Men's Rugby Sevens event at the 2020 olympic games?
Rugby Sevens	Summer	2020		Women	Gold: NZL, Silver: FRA, Bronze: FIJ	Who won the medals in the Women's Rugby Sevens event at the 2020 olympic games?
Water Polo	Summer	2020		Men	Gold: SRB, Silver: GRE, Bronze: HUN	Who won the medals in the Men's Water Polo event at the 2020 olympic games?
Water Polo	Summer	2020		Women	Gold: USA, Silver: ESP, Bronze: HUN	Who won the medals in the Women's Water Polo event at the 2020 olympic games?
Swimming	Summer	2020	4 x 100m Freestyle Relay	Men	Gold: USA, Silver: ITA, Bronze: AUS	Who won the medals in the Men's Swimming 4 x 100m Freestyle Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 100m Freestyle Relay	Women	Gold: AUS, Silver: CAN, Bronze: USA	Who won the medals in the Women's Swimming 4 x 100m Freestyle Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 100m Medley Relay	Men	Gold: USA, Silver: GBR, Bronze: ITA	Who won the medals in the Men's Swimming 4 x 100m Medley Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 100m Medley Relay	Women	Gold: AUS, Silver: USA, Bronze: CAN	Who won the medals in the Women's Swimming 4 x 100m Medley Relay event at the 2020 olympic games?
Athletics	Summer	2020	4 x 100m Relay	Men	Gold: ITA, Silver: CAN, Bronze: CHN	Who won the medals in the Men's Athletics 4 x 100m Relay event at the 2020 olympic games?
Athletics	Summer	2020	4 x 100m Relay	Women	Gold: JAM, Silver: USA, Bronze: GBR	Who won the medals in the Women's Athletics 4 x 100m Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 200m Freestyle Relay	Men	Gold: GBR, Silver: ROC, Bronze: AUS	Who won the medals in the Men's Swimming 4 x 200m Freestyle Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 200m Freestyle Relay	Women	Gold: CHN, Silver: USA, Bronze: AUS	Who won the medals in the Women's Swimming 4 x 200m Freestyle Relay event at the 2020 olympic games?
Athletics	Summer	2020	4 x 400m Relay	Men	Gold: USA, Silver: NED, Bronze: BOT	Who won the medals in the Men's Athletics 4 x 400m Relay event at the 2020 olympic games?
Athletics	Summer	2020	4 x 400m Relay	Women	Gold: USA, Silver: POL, Bronze: JAM	Who won the medals in the Women's Athletics 4 x 400m Relay event at the 2020 olympic games?
Rowing	Summer	2020	Eight	Men	Gold: NZL, Silver: GER, Bronze: GBR	Who won the medals in the Men's Rowing Eight event at the 2020 olympic games?
Rowing	Summer	2020	Eight	Women	Gold: CAN, Silver: NZL, Bronze: CHN	Who won the medals in the Women's Rowing Eight event at the 2020 olympic games?
Fencing	Summer	2020	Epée Team	Men	Gold: JPN, Silver: ROC, Bronze: KOR	Who won the medals in the Men's Fencing Epée Team event at the 2020 olympic games?
Fencing	Summer	2020	Epée Team	Women	Gold: EST, Silver: KOR, Bronze: ITA	Who won the medals in the Women's Fencing Epée Team event at the 2020 olympic games?
Fencing	Summer	2020	Foil Team	Men	Gold: FRA, Silver: ROC, Bronze: USA	Who won the medals in the Men's Fencing Foil Team event at the 2020 olympic games?
Fencing	Summer	2020	Foil Team	Women	Gold: ROC, Silver: FRA, Bronze: ITA	Who won the medals in the Women's Fencing Foil Team event at the 2020 olympic games?
Rowing	Summer	2020	Four	Men	Gold: AUS, Silver: ROU, Bronze: ITA	Who won the medals in the Men's Rowing Four event at the 2020 olympic games?
Rowing	Summer	2020	Four	Women	Gold: AUS, Silver: NED, Bronze: IRL	Who won the medals in the Women's Rowing Four event at the 2020 olympic games?
Canoe Sprint	Summer	2020	Kayak Four 500m	Men	Gold: GER, Silver: ESP, Bronze: SVK	Who won the medals in the Men's Canoe Sprint Kayak Four 500m event at the 2020 olympic games?
Canoe Sprint	Summer	2020	Kayak Four 500m	Women	Gold: HUN, Silver: BLR, Bronze: POL	Who won the medals in the Women's Canoe Sprint Kayak Four 500m event at the 2020 olympic games?
Rowing	Summer	2020	Quadruple Sculls	Men	Gold: NED, Silver: GBR, Bronze: AUS	Who won the medals in the Men's Rowing Quadruple Sculls event at the 2020 olympic games?
Rowing	Summer	2020	Quadruple Sculls	Women	Gold: CHN, Silver: POL, Bronze: AUS	Who won the medals in the Women's Rowing Quadruple Sculls event at the 2020 olympic games?
Fencing	Summer	2020	Sabre Team	Men	Gold: KOR, Silver: ITA, Bronze: HUN	Who won the medals in the Men's Fencing Sabre Team event at the 2020 olympic games?
Fencing	Summer	2020	Sabre Team	Women	Gold: ROC, Silver: FRA, Bronze: KOR	Who won the medals in the Women's Fencing Sabre Team event at the 2020 olympic games?
Archery	Summer	2020	Team	Men	Gold: KOR, Silver: TPE, Bronze: JPN	Who won the medals in the Men's Archery Team event at the 2020 olympic games?
Archery	Summer	2020	Team	Women	Gold: KOR, Silver: ROC, Bronze: GER	Who won the medals in the Women's Archery Team event at the 2020 olympic games?
Artistic Gymnastics	Summer	2020	Team	Men	Gold: ROC, Silver: JPN, Bronze: CHN	Who won the medals in the Men's Artistic Gymnastics Team event at the 2020 olympic games?
Artistic Gymnastics	Summer	2020	Team	Women	Gold: ROC, Silver: USA, Bronze: GBR	Who won the medals in the Women's Artistic Gymnastics Team event at the 2020 olympic games?
Table Tennis	Summer	2020	Team	Men	Gold: CHN, Silver: GER, Bronze: JPN	Who won the medals in the Men's Table Tennis Team event at the 2020 olympic games?
Table Tennis	Summer	2020	Team	Women	Gold: CHN, Silver: JPN, Bronze: HKG	Who won the medals in the Women's Table Tennis Team event at the 2020 olympic games?
