Discipline	Season	Year	Event	Men's Results	Women's Results	Prompt
Archery	Summer	2016	Team	Gold: KOR, Silver: USA, Bronze: AUS	Gold: KOR, Silver: RUS, Bronze: TPE	Who won the medals in the Archery Team event at the 2016 olympic games?
Table Tennis	Summer	2016	Team	Gold: CHN, Silver: JPN, Bronze: GER	Gold: CHN, Silver: GER, Bronze: JPN	Who won the medals in the Table Tennis Team event at the 2016 olympic games?
Artistic Gymnastics	Summer	2016	Team All-Around	Gold: JPN, Silver: RUS, Bronze: CHN	Gold: USA, Silver: RUS, Bronze: CHN	Who won the medals in the Artistic Gymnastics Team All-Around event at the 2016 olympic games?
Cycling Track	Summer	2016	Team Pursuit, 4,000 metres	Gold: GBR, Silver: AUS, Bronze: DEN	Gold: GBR, Silver: USA, Bronze: CAN	Who won the medals in the Cycling Track Team Pursuit, 4,000 metres event at the 2016 olympic games?
Water Polo	Summer	2016	Water Polo	Gold: SRB, Silver: CRO, Bronze: ITA	Gold: USA, Silver: ITA, Bronze: RUS	Who won the medals in the Water Polo event at the 2016 olympic games?
Fencing	Summer	2016	Épée, Team	Gold: FRA, Silver: ITA, Bronze: HUN	Gold: ROU, Silver: CHN, Bronze: RUS	Who won the medals in the Fencing Épée, Team event at the 2016 olympic games?
Curling	Winter	2018	Curling	Gold: USA, Silver: SWE, Bronze: SUI	Gold: SWE, Silver: KOR, Bronze: JPN	Who won the medals in the Curling event at the 2018 olympic games?
Ice Hockey	Winter	2018	Ice Hockey	Gold: OAR, Silver: GER, Bronze: CAN	Gold: USA, Silver: CAN, Bronze: FIN	Who won the medals in the Ice Hockey event at the 2018 olympic games?
3x3 Basketball	Summer	2020		Gold: LAT, Silver: ROC, Bronze: SRB	Gold: USA, Silver: ROC, Bronze: CHN	Who won the medals in the 3x3 Basketball event at the 2020 olympic games?
Basketball	Summer	2020		Gold: USA, Silver: FRA, Bronze: AUS	Gold: USA, Silver: JPN, Bronze: FRA	Who won the medals in the Basketball event at the 2020 olympic games?
Field Hockey	Summer	2020		Gold: BEL, Silver: AUS, Bronze: IND	Gold: NED, Silver: ARG, Bronze: GBR	Who won the medals in the Field Hockey event at the 2020 olympic games?
Football	Summer	2020		Gold: BRA, Silver: ESP, Bronze: MEX	Gold: CAN, Silver: SWE, Bronze: USA	Who won the medals in the Football event at the 2020 olympic games?
Handball	Summer	2020		Gold: FRA, Silver: DEN, Bronze: ESP	Gold: FRA, Silver: ROC, Bronze: NOR	Who won the medals in the Handball event at the 2020 olympic games?
Indoor Volleyball	Summer	2020		Gold: FRA, Silver: ROC, Bronze: ARG	Gold: USA, Silver: BRA, Bronze: SRB	Who won the medals in the Indoor Volleyball event at the 2020 olympic games?
Rugby Sevens	Summer	2020		Gold: FIJ, Silver: NZL, Bronze: ARG	Gold: NZL, Silver: FRA, Bronze: FIJ	Who won the medals in the Rugby Sevens event at the 2020 olympic games?
Water Polo	Summer	2020		Gold: SRB, Silver: GRE, Bronze: HUN	Gold: USA, Silver: ESP, Bronze: HUN	Who won the medals in the Water Polo event at the 2020 olympic games?
Swimming	Summer	2020	4 x 100m Freestyle Relay	Gold: USA, Silver: ITA, Bronze: AUS	Gold: AUS, Silver: CAN, Bronze: USA	Who won the medals in the Swimming 4 x 100m Freestyle Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 100m Medley Relay	Gold: USA, Silver: GBR, Bronze: ITA	Gold: AUS, Silver: USA, Bronze: CAN	Who won the medals in the Swimming 4 x 100m Medley Relay event at the 2020 olympic games?
Athletics	Summer	2020	4 x 100m Relay	Gold: ITA, Silver: CAN, Bronze: CHN	Gold: JAM, Silver: USA, Bronze: GBR	Who won the medals in the Athletics 4 x 100m Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 200m Freestyle Relay	Gold: GBR, Silver: ROC, Bronze: AUS	Gold: CHN, Silver: USA, Bronze: AUS	Who won the medals in the Swimming 4 x 200m Freestyle Relay event at the 2020 olympic games?
Athletics	Summer	2020	4 x 400m Relay	Gold: USA, Silver: NED, Bronze: BOT	Gold: USA, Silver: POL, Bronze: JAM	Who won the medals in the Athletics 4 x 400m Relay event at the 2020 olympic games?
Rowing	Summer	2020	Eight	Gold: NZL, Silver: GER, Bronze: GBR	Gold: CAN, Silver: NZL, Bronze: CHN	Who won the medals in the Rowing Eight event at the 2020 olympic games?
Fencing	Summer	2020	Epée Team	Gold: JPN, Silver: ROC, Bronze: KOR	Gold: EST, Silver: KOR, Bronze: ITA	Who won the medals in the Fencing Epée Team event at the 2020 olympic games?
Fencing	Summer	2020	Foil Team	Gold: FRA, Silver: ROC, Bronze: USA	Gold: ROC, Silver: FRA, Bronze: ITA	Who won the medals in the Fencing Foil Team event at the 2020 olympic games?
Rowing	Summer	2020	Four	Gold: AUS, Silver: ROU, Bronze: ITA	Gold: AUS, Silver: NED, Bronze: IRL	Who won the medals in the Rowing Four event at the 2020 olympic games?
Canoe Sprint	Summer	2020	Kayak Four 500m	Gold: GER, Silver: ESP, Bronze: SVK	Gold: HUN, Silver: BLR, Bronze: POL	Who won the medals in the Canoe Sprint Kayak Four 500m event at the 2020 olympic games?
Rowing	Summer	2020	Quadruple Sculls	Gold: NED, Silver: GBR, Bronze: AUS	Gold: CHN, Silver: POL, Bronze: AUS	Who won the medals in the Rowing Quadruple Sculls event at the 2020 olympic games?
Fencing	Summer	2020	Sabre Team	Gold: KOR, Silver: ITA, Bronze: HUN	Gold: ROC, Silver: FRA, Bronze: KOR	Who won the medals in the Fencing Sabre Team event at the 2020 olympic games?
Archery	Summer	2020	Team	Gold: KOR, Silver: TPE, Bronze: JPN	Gold: KOR, Silver: ROC, Bronze: GER	Who won the medals in the Archery Team event at the 2020 olympic games?
Artistic Gymnastics	Summer	2020	Team	Gold: ROC, Silver: JPN, Bronze: CHN	Gold: ROC, Silver: USA, Bronze: GBR	Who won the medals in the Artistic Gymnastics Team event at the 2020 olympic games?
Table Tennis	Summer	2020	Team	Gold: CHN, Silver: GER, Bronze: JPN	Gold: CHN, Silver: JPN, Bronze: HKG	Who won the medals in the Table Tennis Team event at the 2020 olympic games?
Cycling Track	Summer	2020	Team Pursuit	Gold: ITA, Silver: DEN, Bronze: AUS	Gold: GER, Silver: GBR, Bronze: USA	Who won the medals in the Cycling Track Team Pursuit event at the 2020 olympic games?
